,일시,일 미세먼지 농도(㎍/㎥)
711,2019-12-13,22.46428571
712,2019-12-14,29.65517241
713,2019-12-15,27.42857143
714,2019-12-16,27.55172414
715,2019-12-17,24.79310345
716,2019-12-18,26.25
717,2019-12-19,20.10344828
718,2019-12-20,23.5
719,2019-12-21,29.48275862
720,2019-12-22,40.48275862
721,2019-12-23,37.03448276
722,2019-12-24,38.78571429
723,2019-12-25,34.22222222
724,2019-12-26,32.5862069
725,2019-12-27,22.65517241
726,2019-12-28,32.86206897
727,2019-12-29,34.17241379
728,2019-12-30,24.2962963
729,2019-12-31,19.75862069
